2024-10-15T08:15:23.145Z,SMTP,RECEIVE,203.0.113.45,external@vendor.com,purchasing@company.com,Invoice #45123,success,45678
2024-10-15T08:18:12.567Z,SMTP,RECEIVE,192.168.10.45,alice@company.com,bob@company.com,Q4 Budget Review,success,12456
2024-10-15T08:20:34.891Z,IMAP,LOGIN,192.168.10.67,charlie@company.com,N/A,N/A,success,0
2024-10-15T08:22:56.234Z,SMTP,RECEIVE,198.51.100.75,marketing@partner.net,sales@company.com,Partnership Opportunity,success,23456
2024-10-15T08:25:18.456Z,SMTP,SEND,192.168.10.80,david@company.com,client@external.org,Project Update,success,15678
2024-10-15T08:27:43.789Z,POP3,LOGIN,10.0.1.45,eve@company.com,N/A,N/A,failed,0
2024-10-15T08:30:05.123Z,SMTP,RECEIVE,192.168.10.45,alice@company.com,team@company.com,Team Meeting,success,34567
2024-10-15T08:35:49.789Z,IMAP,LOGIN,192.168.10.90,frank@company.com,N/A,N/A,success,0
2024-10-15T08:38:12.012Z,SMTP,RECEIVE,203.0.113.89,noreply@socialnet.com,alice@company.com,Notifications,success,8765
2024-10-15T08:40:34.345Z,SMTP,RECEIVE,198.51.100.123,support@cloudservice.io,admin@company.com,Maintenance Window,success,12345
2024-10-15T08:45:18.901Z,POP3,LOGIN,10.0.1.67,grace@company.com,N/A,N/A,success,0
2024-10-15T08:50:03.567Z,SMTP,RECEIVE,185.220.101.45,attacker@malicious.ru,ceo@company.com,Wire Transfer Required,quarantine,23456
2024-10-15T08:52:25.890Z,SMTP,SEND,192.168.10.45,alice@company.com,conference@events.org,Speaker Confirmation,success,34567
2024-10-15T08:57:10.456Z,SMTP,RECEIVE,203.0.113.156,newsletter@industry.com,subscriptions@company.com,Weekly Digest,success,45678
2024-10-15T09:01:55.012Z,POP3,LOGIN,10.0.1.89,iris@company.com,N/A,N/A,failed,0
2024-10-15T09:06:39.678Z,SMTP,RECEIVE,198.51.100.201,alerts@monitoring.net,ops@company.com,High CPU Alert,success,8765
2024-10-15T09:11:24.234Z,IMAP,LOGIN,192.168.10.145,julia@company.com,N/A,N/A,success,0
2024-10-15T09:13:46.567Z,SMTP,RECEIVE,185.220.101.67,phisher@evil.net,accounting@company.com,Payment Verification,quarantine,34567
2024-10-15T09:16:08.890Z,SMTP,SEND,192.168.10.45,alice@company.com,press@media.com,Press Release,success,78901
2024-10-15T09:20:53.456Z,POP3,LOGIN,10.0.1.123,kevin@company.com,N/A,N/A,success,0
2024-10-15T09:25:38.012Z,SMTP,SEND,192.168.10.67,charlie@company.com,audit@regulator.gov,Compliance Report,success,89012
2024-10-15T09:28:00.345Z,IMAP,LOGIN,192.168.10.167,laura@company.com,N/A,N/A,success,0
2024-10-15T09:32:44.901Z,SMTP,RECEIVE,185.220.101.89,spammer@spam.ru,info@company.com,Investment Opportunity,rejected,6789
